gse,title,organism,data_type,published,in_scope,exclusion_reason,fetch_error,score,tier,geo_url
GSE225948,Brain and blood single-cell transcriptomic analysis in acute and subacute phases after experimental stroke,Mus musculus,single-cell RNA-seq,2023-06-14,True,,,82.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225948
GSE234667,Extracellular vesicles in young serum contribute to restoration of age-related brain transcriptomes and cognition in old mice,Mus musculus,bulk RNA-seq,2023-08-30,True,,,81.9,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234667
GSE104181,Functional aspects of meningeal lymphatics in ageing and Alzheimer's disease [1 of 3],Mus musculus,bulk RNA-seq,2018-08-03,True,,,80.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104181
GSE166304,White matter aging drives microglial diversity,Mus musculus,bulk RNA-seq,2021-02-08,True,,,80.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166304
GSE206618,Brain injury accelerates the onset of a reversible age-related microglial phenotype associated with hyperphagocytosis and inflammatory neurodegeneration,Mus musculus,bulk RNA-seq,2023-01-01,True,,,80.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206618
GSE179698,Microglia aging progresses through functional intermediate steps III,Mus musculus,single-cell RNA-seq,2024-07-04,True,,,79.5,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179698
GSE117646,"Microglial translational profiling reveals a convergent APOE pathway from aging, amyloid, and tau",Mus musculus,bulk RNA-seq,2018-07-25,True,,,77.7,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117646
GSE161340,Whole-Body Senescent Cell Clearance Alleviates Age-Related Brain Inflammation and Cognitive Impairment in Mice,Mus musculus,single-cell RNA-seq,2021-02-06,True,,,77.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161340
GSE129923,Genome-wide microarray analysis on choroid plexus of young and aged mice,Mus musculus,microarray,2020-01-21,True,,,76.5,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129923
GSE160991,Generalized reversal of glial and neurovascular cell transcriptomic aging signatures by glucagon-like peptide-1 receptor agonist,Mus musculus,bulk RNA-seq,2021-01-31,True,,,75.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160991
GSE195891,Single cell RNA-seq of immune cells in multiple mouse models of outer retinal degeneration,Mus musculus,single-cell RNA-seq,2024-01-07,True,,,72.0,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195891
GSE109329,Transcriptome sequencing elucidates gene modules in microglia,Mus musculus,bulk RNA-seq,2018-12-15,True,,,70.3,usable with curation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109329
